dataset,shots,noise_type,noise_p,meas_seed,r2,mse
lorenz,2048,phase_flip,0.0,33,0.7302809677987356,0.2850488916768278
lorenz,2048,phase_flip,0.0,44,0.7340046549863797,0.28111356350541006
lorenz,2048,phase_flip,0.0,55,0.7299288798228449,0.28542099106663094
lorenz,2048,phase_flip,0.0,66,0.7304963380793714,0.28482128052423566
lorenz,2048,phase_flip,0.0,77,0.7303057966734858,0.2850226516181587
lorenz,2048,phase_flip,0.0005,11,0.7119156232148259,0.3044580563775231
lorenz,2048,phase_flip,0.0005,22,0.7088345694639488,0.30771422613950294
lorenz,2048,phase_flip,0.0005,33,0.7111579074827673,0.3052588379459081
lorenz,2048,phase_flip,0.0005,44,0.7141300746832715,0.3021177434541046
lorenz,2048,phase_flip,0.0005,55,0.7111630491165997,0.30525340408010576
lorenz,2048,phase_flip,0.0005,66,0.7113986547462312,0.3050044074740776
lorenz,2048,phase_flip,0.0005,77,0.7101264715151774,0.30634889702330276
lorenz,2048,phase_flip,0.001,11,0.6930008643255104,0.32444786211622445
lorenz,2048,phase_flip,0.001,22,0.6888983972226996,0.3287834986905253
lorenz,2048,phase_flip,0.001,33,0.6913530592532384,0.32618932250082244
lorenz,2048,phase_flip,0.001,44,0.692878273526492,0.32457742053523836
lorenz,2048,phase_flip,0.001,55,0.6929545684429759,0.32449678929017267
lorenz,2048,phase_flip,0.001,66,0.6919468016828811,0.32556183388746834
lorenz,2048,phase_flip,0.001,77,0.6903551162609118,0.32724398498273083
lorenz,2048,phase_flip,0.002,11,0.6546463426924594,0.36498231677843007
lorenz,2048,phase_flip,0.002,22,0.6515443510844185,0.3682606144300509
lorenz,2048,phase_flip,0.002,33,0.6526787753044554,0.3670617136184405
lorenz,2048,phase_flip,0.002,44,0.654639855047553,0.3649891731577336
lorenz,2048,phase_flip,0.002,55,0.6559495241156043,0.36360506721139135
lorenz,2048,phase_flip,0.002,66,0.6547255286317868,0.36489863019518276
lorenz,2048,phase_flip,0.002,77,0.6518655484692297,0.3679211613413952
lorenz,2048,phase_flip,0.003,11,0.6170665840849517,0.40469797367193183
lorenz,2048,phase_flip,0.003,22,0.6137640560823365,0.4081882054853646
lorenz,2048,phase_flip,0.003,33,0.6145558722381679,0.407351385347796
lorenz,2048,phase_flip,0.003,44,0.6166989948310453,0.40508645537662713
lorenz,2048,phase_flip,0.003,55,0.6180351458731845,0.40367436231605885
lorenz,2048,phase_flip,0.003,66,0.6187274892867225,0.4029426685936022
lorenz,2048,phase_flip,0.003,77,0.6158727458812873,0.40595966534425726
lorenz,2048,phase_flip,0.005,11,0.5465419553125159,0.4792309686313002
lorenz,2048,phase_flip,0.005,22,0.5419797727434537,0.484052449245127
lorenz,2048,phase_flip,0.005,33,0.5428170766284779,0.48316755601948036
lorenz,2048,phase_flip,0.005,44,0.5455227934221414,0.48030805601708665
lorenz,2048,phase_flip,0.005,55,0.5455707189058392,0.48025740662130756
lorenz,2048,phase_flip,0.005,66,0.5489009215337755,0.4767379272564099
lorenz,2048,phase_flip,0.005,77,0.542749639419212,0.4832388261171155
lorenz,2048,phase_flip,0.008,11,0.44780608869026794,0.5835786267098796
lorenz,2048,phase_flip,0.008,22,0.4490172569246935,0.5822986200301894
lorenz,2048,phase_flip,0.008,33,0.44760873304272897,0.5837871993424373
lorenz,2048,phase_flip,0.008,44,0.45135839357815344,0.5798244215915905
lorenz,2048,phase_flip,0.008,55,0.4483605953459321,0.5829926038907463
lorenz,2048,phase_flip,0.008,66,0.4523267440225238,0.5788010335916047
lorenz,2048,phase_flip,0.008,77,0.44692521479502734,0.58450956630838
lorenz,2048,phase_flip,0.01,11,0.3907502935317009,0.6438772680069227
lorenz,2048,phase_flip,0.01,22,0.3912026370450886,0.6433992149155406
lorenz,2048,phase_flip,0.01,33,0.3902741958211581,0.6443804253985702
lorenz,2048,phase_flip,0.01,44,0.3960929783680781,0.638230924184765
lorenz,2048,phase_flip,0.01,55,0.3928777336461885,0.6416289118497975
lorenz,2048,phase_flip,0.01,66,0.39681774724611985,0.637464962051053
lorenz,2048,phase_flip,0.01,77,0.3914630339720291,0.6431240179640513
lorenz,2048,phase_flip,0.015,11,0.277194647457345,0.7638870084874816
lorenz,2048,phase_flip,0.015,22,0.2765750624598471,0.7645418084672789
lorenz,2048,phase_flip,0.015,33,0.2758046832050447,0.7653559733074835
lorenz,2048,phase_flip,0.015,44,0.2824149224531973,0.7583700318408148
lorenz,2048,phase_flip,0.015,55,0.2772810401716528,0.7637957055220905
lorenz,2048,phase_flip,0.015,66,0.28199798580942204,0.7588106656634918
lorenz,2048,phase_flip,0.015,77,0.2721815067399246,0.7691850780884965
lorenz,2048,phase_flip,0.02,11,0.19019468952130336,0.8558317310500855
lorenz,2048,phase_flip,0.02,22,0.18949594188700025,0.8565701929861764
lorenz,2048,phase_flip,0.02,33,0.18858351009937113,0.8575344841141392
lorenz,2048,phase_flip,0.02,44,0.19911940606416667,0.8463997657256115
lorenz,2048,phase_flip,0.02,55,0.18939096592205706,0.8566811354073158
lorenz,2048,phase_flip,0.02,66,0.1965544395573422,0.8491105157012117
lorenz,2048,phase_flip,0.02,77,0.18818383747982448,0.8579568726875579
lorenz,2048,phase_flip,0.03,11,0.08192548305619285,0.9702545697119868
lorenz,2048,phase_flip,0.03,22,0.08218141015345715,0.9699840966392121
lorenz,2048,phase_flip,0.03,33,0.07838710462722132,0.9739940568415374
lorenz,2048,phase_flip,0.03,44,0.08548037976834788,0.9664976254594607
lorenz,2048,phase_flip,0.03,55,0.0767203639184798,0.9757555290960608
lorenz,2048,phase_flip,0.03,66,0.0849080919825157,0.9671024400242332
lorenz,2048,phase_flip,0.03,77,0.07696482773996172,0.975497170830425
lorenz,2048,phase_flip,0.05,11,-0.034073876795978286,1.0928469158702268
lorenz,2048,phase_flip,0.05,22,-0.027093242516103677,1.0854695274507298
lorenz,2048,phase_flip,0.05,33,-0.030759709151404024,1.0893443828594596
lorenz,2048,phase_flip,0.05,44,-0.02522363427467833,1.0834936574027811
lorenz,2048,phase_flip,0.05,55,-0.033976560635567754,1.0927440686093535
lorenz,2048,phase_flip,0.05,66,-0.02831347203687473,1.0867591104276833
lorenz,2048,phase_flip,0.05,77,-0.035237844248831696,1.094077039045725
lorenz,2048,phase_flip,0.08,11,-0.11083283098393615,1.1739685728737372
lorenz,2048,phase_flip,0.08,22,-0.10626164669514782,1.1691375789148188
lorenz,2048,phase_flip,0.08,33,-0.10704616751183216,1.169966689072408
lorenz,2048,phase_flip,0.08,44,-0.10325500518686992,1.165960050719609
lorenz,2048,phase_flip,0.08,55,-0.11131111542337124,1.1744740412800807
lorenz,2048,phase_flip,0.08,66,-0.10577837560981873,1.1686268404395683
lorenz,2048,phase_flip,0.08,77,-0.11229990201046691,1.1755190269396252
lorenz,2048,phase_flip,0.1,11,-0.14291877245853746,1.2078781638325164
lorenz,2048,phase_flip,0.1,22,-0.138925566647633,1.203657998568886
lorenz,2048,phase_flip,0.1,33,-0.13841190851860752,1.203115145959693
lorenz,2048,phase_flip,0.1,44,-0.13490845488802794,1.1994125686284325
lorenz,2048,phase_flip,0.1,55,-0.1429301234033229,1.2078901599241685
lorenz,2048,phase_flip,0.1,66,-0.13914209402222455,1.2038868325804917
lorenz,2048,phase_flip,0.1,77,-0.14520328661457094,1.2102925215546347
lorenz,2048,amplitude_damp,0.0,11,0.7315417465348908,0.2837164548129635
lorenz,2048,amplitude_damp,0.0,22,0.7282611298395536,0.28718352995923857
lorenz,2048,amplitude_damp,0.0,33,0.7302809677987356,0.2850488916768278
lorenz,2048,amplitude_damp,0.0,44,0.7340046549863797,0.28111356350541006
lorenz,2048,amplitude_damp,0.0,55,0.7299288798228449,0.28542099106663094
lorenz,2048,amplitude_damp,0.0,66,0.7304963380793714,0.28482128052423566
lorenz,2048,amplitude_damp,0.0,77,0.7303057966734858,0.2850226516181587
lorenz,2048,amplitude_damp,0.0005,11,0.7181598644619946,0.29785891492153554
lorenz,2048,amplitude_damp,0.0005,22,0.7150479076098026,0.30114774420593526
lorenz,2048,amplitude_damp,0.0005,33,0.7175297217246069,0.29852487270517675
lorenz,2048,amplitude_damp,0.0005,44,0.7205183835089648,0.2953663461367127
lorenz,2048,amplitude_damp,0.0005,55,0.7173431172472011,0.29872208310976833
lorenz,2048,amplitude_damp,0.0005,66,0.7168195536462095,0.2992754041823192
lorenz,2048,amplitude_damp,0.0005,77,0.717174528026727,0.2989002543350342
lorenz,2048,amplitude_damp,0.001,11,0.7053822162223649,0.31136279871949096
lorenz,2048,amplitude_damp,0.001,22,0.7020706668223282,0.31486256467412016
lorenz,2048,amplitude_damp,0.001,33,0.703579849395265,0.3132676055930249
lorenz,2048,amplitude_damp,0.001,44,0.7068446698447995,0.30981722449433685
lorenz,2048,amplitude_damp,0.001,55,0.7044613115422369,0.312336044308681
lorenz,2048,amplitude_damp,0.001,66,0.7048174714276911,0.3119596415766235
lorenz,2048,amplitude_damp,0.001,77,0.7033031108298351,0.3135600729829463
lorenz,2048,amplitude_damp,0.002,11,0.6788342606520911,0.33941964457805596
lorenz,2048,amplitude_damp,0.002,22,0.6743529099024352,0.344155699182654
lorenz,2048,amplitude_damp,0.002,33,0.6762499037402772,0.34215088703950824
lorenz,2048,amplitude_damp,0.002,44,0.6789512606520052,0.3392959947190545
lorenz,2048,amplitude_damp,0.002,55,0.6793029123175628,0.3389243564378941
lorenz,2048,amplitude_damp,0.002,66,0.678411143800127,0.33986680986972195
lorenz,2048,amplitude_damp,0.002,77,0.6764653417999913,0.34192320425551875
lorenz,2048,amplitude_damp,0.003,11,0.6523494189380933,0.3674097894158065
lorenz,2048,amplitude_damp,0.003,22,0.6470860036869317,0.37297235825469727
lorenz,2048,amplitude_damp,0.003,33,0.6493289542185854,0.3706019264838434
lorenz,2048,amplitude_damp,0.003,44,0.6520709369781283,0.36770409928853637
lorenz,2048,amplitude_damp,0.003,55,0.6522469894324978,0.3675180406460096
lorenz,2048,amplitude_damp,0.003,66,0.6511764609753565,0.36864941408942664
lorenz,2048,amplitude_damp,0.003,77,0.6502775089693578,0.36959945929346477
lorenz,2048,amplitude_damp,0.005,11,0.5985402601495184,0.4242772672113678
lorenz,2048,amplitude_damp,0.005,22,0.5933440167311215,0.4297688464121704
lorenz,2048,amplitude_damp,0.005,33,0.5955714210301677,0.4274148444658577
lorenz,2048,amplitude_damp,0.005,44,0.5995862067168278,0.42317187280396745
lorenz,2048,amplitude_damp,0.005,55,0.5981005711143226,0.42474194658954206
lorenz,2048,amplitude_damp,0.005,66,0.5988136959497858,0.423988290303899
lorenz,2048,amplitude_damp,0.005,77,0.595517186237079,0.42747216176947583
lorenz,2048,amplitude_damp,0.008,11,0.5211909271868991,0.5060228579952029
lorenz,2048,amplitude_damp,0.008,22,0.5134945569908491,0.5141566621854892
lorenz,2048,amplitude_damp,0.008,33,0.5157934944919821,0.511727061347224
lorenz,2048,amplitude_damp,0.008,44,0.5199220494840876,0.507363854141852
lorenz,2048,amplitude_damp,0.008,55,0.5194227637842483,0.5078915174446887
lorenz,2048,amplitude_damp,0.008,66,0.5207084185387312,0.5065327906991066
lorenz,2048,amplitude_damp,0.008,77,0.5130929903267629,0.514581052454125
lorenz,2048,amplitude_damp,0.01,11,0.46875971248470116,0.5614340743196741
lorenz,2048,amplitude_damp,0.01,22,0.46343912155008593,0.5670570685021764
lorenz,2048,amplitude_damp,0.01,33,0.4657409521598992,0.5646244101213416
lorenz,2048,amplitude_damp,0.01,44,0.4695057506530059,0.5606456340257567
lorenz,2048,amplitude_damp,0.01,55,0.46797810197213185,0.5622601087619326
lorenz,2048,amplitude_damp,0.01,66,0.4695524098222532,0.560596322917186
lorenz,2048,amplitude_damp,0.01,77,0.46363544602402906,0.5668495856514121
lorenz,2048,amplitude_damp,0.015,11,0.3474708528407843,0.6896165564088367
lorenz,2048,amplitude_damp,0.015,22,0.34229686224619793,0.6950846180153778
lorenz,2048,amplitude_damp,0.015,33,0.34700282234803237,0.690111188071056
lorenz,2048,amplitude_damp,0.015,44,0.34896190966073526,0.6880407532833196
lorenz,2048,amplitude_damp,0.015,55,0.34900053171640144,0.6879999360889522
lorenz,2048,amplitude_damp,0.015,66,0.34843707663593515,0.6885954159291614
lorenz,2048,amplitude_damp,0.015,77,0.34438394384895243,0.6928789142026031
lorenz,2048,amplitude_damp,0.02,11,0.24219517729159512,0.8008757226267889
lorenz,2048,amplitude_damp,0.02,22,0.23314006311517943,0.8104454969172007
lorenz,2048,amplitude_damp,0.02,33,0.2381442171045346,0.8051569248175446
lorenz,2048,amplitude_damp,0.02,44,0.24084794528333597,0.8022995264557278
lorenz,2048,amplitude_damp,0.02,55,0.24172991644360275,0.8013674272276043
lorenz,2048,amplitude_damp,0.02,66,0.2414459068241649,0.8016675789320858
lorenz,2048,amplitude_damp,0.02,77,0.23706099583819717,0.8063017124837699
lorenz,2048,amplitude_damp,0.03,11,0.058294826556636425,0.995228307715644
lorenz,2048,amplitude_damp,0.03,22,0.046063990552223766,1.0081543004380906
lorenz,2048,amplitude_damp,0.03,33,0.050027688712990126,1.0039653199332783
lorenz,2048,amplitude_damp,0.03,44,0.06117091931177454,0.9921887481950532
lorenz,2048,amplitude_damp,0.03,55,0.05448531317489125,0.9992543401332755
lorenz,2048,amplitude_damp,0.03,66,0.058524359086070565,0.9949857293829806
lorenz,2048,amplitude_damp,0.03,77,0.05109799067187526,1.0028341858614636
lorenz,2048,amplitude_damp,0.05,11,-0.24093143283796148,1.3114615112271657
lorenz,2048,amplitude_damp,0.05,22,-0.251018337627511,1.3221217193972932
lorenz,2048,amplitude_damp,0.05,33,-0.24725262533394377,1.318141977564117
lorenz,2048,amplitude_damp,0.05,44,-0.23600422571606172,1.3062542593780944
lorenz,2048,amplitude_damp,0.05,55,-0.24540175940563058,1.3161859150749324
lorenz,2048,amplitude_damp,0.05,66,-0.23715105115083768,1.3074662662448764
lorenz,2048,amplitude_damp,0.05,77,-0.2450636321688362,1.315828569902412
lorenz,2048,amplitude_damp,0.08,11,-0.6257811725352231,1.7181847256311131
lorenz,2048,amplitude_damp,0.08,22,-0.6277365482046198,1.7202512378190904
lorenz,2048,amplitude_damp,0.08,33,-0.6303243673360683,1.722986139280286
lorenz,2048,amplitude_damp,0.08,44,-0.6285177467273375,1.7210768368554763
lorenz,2048,amplitude_damp,0.08,55,-0.6291061518859102,1.7216986848464735
lorenz,2048,amplitude_damp,0.08,66,-0.6203364053125766,1.7124304974270925
lorenz,2048,amplitude_damp,0.08,77,-0.6335296648588136,1.72637361438316
lorenz,2048,amplitude_damp,0.1,11,-0.8556878854004026,1.9611585089656913
lorenz,2048,amplitude_damp,0.1,22,-0.8569188403961854,1.962459427015071
lorenz,2048,amplitude_damp,0.1,33,-0.8675359779021554,1.9736800044217073
lorenz,2048,amplitude_damp,0.1,44,-0.8567331871460382,1.9622632219020737
lorenz,2048,amplitude_damp,0.1,55,-0.8602070782136211,1.9659345564406079
lorenz,2048,amplitude_damp,0.1,66,-0.8565818117860649,1.9621032429112126
lorenz,2048,amplitude_damp,0.1,77,-0.8615727405040294,1.9673778380626301
